model,precision,recall,f1_score,support,vectorizer
MultiOutput-GBoost,0.9577060931899642,0.7983870967741935,0.8526103886620972,,bow
RandomForest,0.5854934715821812,0.2419354838709677,0.3331729689198133,,bow
MLP,0.8314516129032258,0.1209677419354838,0.1989955121833679,,bow
MultiOutput-LogisticReg,0.1854838709677419,0.0403225806451612,0.0636536139382439,,bow
MultiOutput-PassAggr,0.7315860215053763,0.3064516129032258,0.4163237997642402,,bow
MultiOutput-SDG,0.8341013824884794,0.2580645161290322,0.3644242091905781,,bow
MultiOutput-RandomForest,0.4984708839547548,0.3064516129032258,0.3697811801335645,,bow
MultiOutput-KNeighbors,0.3996582188814678,0.3951612903225806,0.3460969240304491,,bow
MultiOutput-AdaBoost-GBoost,0.8967741935483872,0.7983870967741935,0.8395432849877829,,bow
MultiOutput-LGBM,0.8825475599669148,0.7580645161290323,0.8086328243502882,,bow
MultiOutput-GBoost,0.8983198924731183,0.8064516129032258,0.8443715354304415,,tf-idf
RandomForest,0.5854934715821812,0.2419354838709677,0.3331729689198133,,tf-idf
MLP,0.8314516129032258,0.1209677419354838,0.1989955121833679,,tf-idf
MultiOutput-LogisticReg,0.1854838709677419,0.0403225806451612,0.0636536139382439,,tf-idf
MultiOutput-PassAggr,0.7315860215053763,0.3064516129032258,0.4163237997642402,,tf-idf
MultiOutput-SDG,0.8341013824884794,0.2580645161290322,0.3644242091905781,,tf-idf
MultiOutput-RandomForest,0.4984708839547548,0.3064516129032258,0.3697811801335645,,tf-idf
MultiOutput-KNeighbors,0.3996582188814678,0.3951612903225806,0.3460969240304491,,tf-idf
MultiOutput-AdaBoost-GBoost,0.8967741935483872,0.7983870967741935,0.8395432849877829,,tf-idf
MultiOutput-LGBM,0.8825475599669148,0.7580645161290323,0.8086328243502882,,tf-idf
MultiOutput-GBoost,0.6008064516129032,0.1129032258064516,0.1778804952828722,,doc2vec
RandomForest,0.3284131638970348,0.1774193548387097,0.2223543125366762,,doc2vec
MLP,0.6447622941574555,0.5564516129032258,0.5911415154391221,,doc2vec
MultiOutput-LogisticReg,0.6624487295858263,0.5645161290322581,0.6060289348714396,,doc2vec
MultiOutput-PassAggr,0.5794581762323697,0.5564516129032258,0.5631293823564617,,doc2vec
MultiOutput-SDG,0.6044354838709678,0.5806451612903226,0.5907120565470111,,doc2vec
MultiOutput-MLP,0.5991113724984694,0.5564516129032258,0.5738408319033547,,doc2vec
MultiOutput-RandomForest,0.3712111812918264,0.2983870967741935,0.3198760900161148,,doc2vec
MultiOutput-KNeighbors,0.4720659045255819,0.2419354838709677,0.2909497440219982,,doc2vec
MultiOutput-AdaBoost-DecisionTree,0.3312298140927173,0.2903225806451613,0.3037675593792544,,doc2vec
MultiOutput-AdaBoost-DecisionTree,0.8497765675185031,0.8064516129032258,0.8219986529567223,,bow
MultiOutput-MLP,0.8239247311827957,0.1532258064516129,0.2339388736921943,,bow
MultiOutput-AdaBoost-GBoost,0.593394777265745,0.12096774193548387,0.18555713999262388,,doc2vec
MultiOutput-LGBM,0.70468509984639,0.20161290322580644,0.3042975319375781,,doc2vec
MultiOutput-MLP,0.6368482659813305,0.6048387096774194,0.6154927347543236,,tf-idf
MultiOutput-AdaBoost-DecisionTree,0.3847213800630609,0.4032258064516129,0.38853274707001073,,tf-idf
